j,n,m,coef
370.0,26.0,12.0,-2.349661862747894
371.0,26.0,14.0,0.9473950769109724
372.0,26.0,16.0,0.0162437701767459
373.0,26.0,18.0,-0.3085489395309806
374.0,26.0,20.0,0.1032792061976188
375.0,26.0,22.0,-0.0020060521502093
376.0,26.0,24.0,0.0002072449965475
377.0,26.0,26.0,-0.000428013355569
392.0,27.0,1.0,0.3596695569932761
393.0,27.0,3.0,-0.2029445652910619
394.0,27.0,5.0,0.2117836483444661
395.0,27.0,7.0,-0.0521364008818147
396.0,27.0,9.0,-0.0016508712947289
397.0,27.0,11.0,0.0042866000137247
398.0,27.0,13.0,0.0056407911019578
399.0,27.0,15.0,-0.006838246619731
400.0,27.0,17.0,-0.000935265440477
401.0,27.0,19.0,-0.0001846586223636
402.0,27.0,21.0,0.0005154879706128
403.0,27.0,23.0,-0.0002521638013018
404.0,27.0,25.0,3.331862095608609e-05
405.0,27.0,27.0,7.285271727561996e-06
420.0,28.0,0.0,46.558255119088365
421.0,28.0,2.0,-31.884442548669643
422.0,28.0,4.0,26.365146207476872
423.0,28.0,6.0,0.6882848680638091
424.0,28.0,8.0,-9.07139043977741
425.0,28.0,10.0,6.361798630988445
426.0,28.0,12.0,-4.518409198082706
427.0,28.0,14.0,1.4119159679087834
428.0,28.0,16.0,0.6581816646932785
429.0,28.0,18.0,-1.1013609611412412
430.0,28.0,20.0,0.3646628177502969
431.0,28.0,22.0,-0.0012972160412838
432.0,28.0,24.0,0.0053767643773916
433.0,28.0,26.0,-0.0051574129027115
434.0,28.0,28.0,0.0007614974967891
450.0,29.0,1.0,0.476192096350663
451.0,29.0,3.0,-0.2396402232276492
452.0,29.0,5.0,0.3126227184399163
453.0,29.0,7.0,-0.0658898859398714
454.0,29.0,9.0,-0.0167967666840898
455.0,29.0,11.0,0.003235902798611
456.0,29.0,13.0,0.0146885987827029
457.0,29.0,15.0,-0.01371939796087
458.0,29.0,17.0,-0.0038389225183385
459.0,29.0,19.0,-0.0018108392526283
460.0,29.0,21.0,0.0029505380934793
461.0,29.0,23.0,-0.0011139171170922
462.0,29.0,25.0,0.0001427176877702
463.0,29.0,27.0,9.296363281893412e-05
464.0,29.0,29.0,-3.346204417863054e-06
480.0,30.0,0.0,59.34141674024326
481.0,30.0,2.0,-28.082387031697884
482.0,30.0,4.0,25.351225446040285
483.0,30.0,6.0,3.654932064063602
484.0,30.0,8.0,-17.08426808699307
485.0,30.0,10.0,10.060719348707236
486.0,30.0,12.0,-6.0475789740382915
487.0,30.0,14.0,0.3318215609364663
488.0,30.0,16.0,3.169334162164183
489.0,30.0,18.0,-3.231358800733215
490.0,30.0,20.0,1.0095784059013937
491.0,30.0,22.0,0.0429864651147735
492.0,30.0,24.0,0.0457804090333177
493.0,30.0,26.0,-0.0330836671425108
494.0,30.0,28.0,0.0081201729784696
495.0,30.0,30.0,0.0008430809135937
512.0,31.0,1.0,0.4540483673411328
513.0,31.0,3.0,-0.1439240909445295
514.0,31.0,5.0,0.3741288037324668
515.0,31.0,7.0,-0.0523136420708957
516.0,31.0,9.0,-0.0561940133671647
517.0,31.0,11.0,-0.0050863485425416
518.0,31.0,13.0,0.0314986661302912
519.0,31.0,15.0,-0.0221915910091384
520.0,31.0,17.0,-0.0101428627073329
521.0,31.0,19.0,-0.0101172500600378
522.0,31.0,21.0,0.0126279109298227
523.0,31.0,23.0,-0.0035421491864798
524.0,31.0,25.0,0.0002345990957679
525.0,31.0,27.0,0.0006237920695164
526.0,31.0,29.0,-1.4786347803437664e-05
527.0,31.0,31.0,-8.419993158883003e-06
544.0,32.0,0.0,59.07391773354223
545.0,32.0,2.0,-2.5078331260358007
546.0,32.0,4.0,8.477368408451243
547.0,32.0,6.0,4.447404600237784
548.0,32.0,8.0,-24.57211369629752
549.0,32.0,10.0,10.061259064625036
550.0,32.0,12.0,-2.320203081042546
551.0,32.0,14.0,-5.662142386708529
552.0,32.0,16.0,9.58512211382657
553.0,32.0,18.0,-7.49616424032839
554.0,32.0,20.0,2.0714982563712914
555.0,32.0,22.0,0.3273898387234078
556.0,32.0,24.0,0.2459871154888973
557.0,32.0,26.0,-0.1352001729081195
558.0,32.0,28.0,0.0340284792012823
559.0,32.0,30.0,0.0155324277082826
560.0,32.0,32.0,-0.001323375933983
578.0,33.0,1.0,0.2097104831303662
579.0,33.0,3.0,0.1435048823553198
580.0,33.0,5.0,0.3564488279774707
581.0,33.0,7.0,-0.0091945724030223
582.0,33.0,9.0,-0.1248945757383613
583.0,33.0,11.0,-0.0305517374101933
