j,n,m,coef
549.0,32.0,10.0,9.67082054210367
550.0,32.0,12.0,-2.249729849145813
551.0,32.0,14.0,-5.663014319603678
552.0,32.0,16.0,9.591367317342943
553.0,32.0,18.0,-7.500696866900274
554.0,32.0,20.0,2.061630076629916
578.0,33.0,1.0,-4.861340833856788
579.0,33.0,3.0,2.4945819964430984
580.0,33.0,5.0,1.509586844690832
612.0,34.0,0.0,41.33095943103426
613.0,34.0,2.0,36.96199445907856
614.0,34.0,4.0,-21.736425006631034
615.0,34.0,6.0,-9.110033331031993
616.0,34.0,8.0,-22.313260142801056
618.0,34.0,12.0,12.671408647059256
619.0,34.0,14.0,-19.24455212630149
620.0,34.0,16.0,19.86394018683914
621.0,34.0,18.0,-12.724839157991882
622.0,34.0,20.0,2.649343475134617
623.0,34.0,22.0,1.3946349914574119
624.0,34.0,24.0,0.9549092963122985
648.0,35.0,1.0,-4.163351959304176
649.0,35.0,3.0,1.3441852467254303
650.0,35.0,5.0,5.324360205740798
653.0,35.0,11.0,0.8094848952656176
654.0,35.0,13.0,-0.8501062650744072
655.0,35.0,15.0,0.9857307837101841
657.0,35.0,19.0,-1.0993443709520008
684.0,36.0,0.0,21.10764016762246
685.0,36.0,2.0,52.68887817659573
686.0,36.0,4.0,-44.81284857915161
687.0,36.0,6.0,-45.7856720042133
688.0,36.0,8.0,-8.551204132601745
689.0,36.0,10.0,-13.627792748975045
690.0,36.0,12.0,36.165967338903314
691.0,36.0,14.0,-34.07362275196594
692.0,36.0,16.0,25.628184669658733
693.0,36.0,18.0,-13.047660107122118
694.0,36.0,20.0,0.8738523554475921
695.0,36.0,22.0,3.827068572030029
696.0,36.0,24.0,2.7812694160805957
698.0,36.0,28.0,-0.6631054771948087
699.0,36.0,30.0,0.779076134912312
722.0,37.0,1.0,-2.659510873322516
723.0,37.0,3.0,0.8733092027907461
724.0,37.0,5.0,8.300865821467886
725.0,37.0,7.0,0.7817533642313467
726.0,37.0,9.0,-2.4120477977822468
727.0,37.0,11.0,0.9766855268618864
728.0,37.0,13.0,-0.9497392044021182
729.0,37.0,15.0,1.45646813561261
731.0,37.0,19.0,-1.7051853319876984
733.0,37.0,23.0,0.7240472903973154
760.0,38.0,0.0,20.588632844781475
761.0,38.0,2.0,7.406813447327325
762.0,38.0,4.0,-45.50635993169863
763.0,38.0,6.0,-85.81064946919939
764.0,38.0,8.0,-1.5306530483585383
765.0,38.0,10.0,-5.559870108784419
766.0,38.0,12.0,46.96711938454672
767.0,38.0,14.0,-31.37102977435495
768.0,38.0,16.0,11.206772229705388
769.0,38.0,18.0,-2.6831853675709367
770.0,38.0,20.0,-1.575675031874145
771.0,38.0,22.0,6.444372304996793
772.0,38.0,24.0,6.018230981520204
773.0,38.0,26.0,2.985578711751912
774.0,38.0,28.0,-3.789874020435058
775.0,38.0,30.0,2.6461618366562294
800.0,39.0,1.0,-1.4983616255316328
801.0,39.0,3.0,2.4337779106863033
802.0,39.0,5.0,7.862417938318789
803.0,39.0,7.0,2.8376066030301907
804.0,39.0,9.0,-4.619994240758308
807.0,39.0,15.0,2.187142922667478
809.0,39.0,19.0,-2.1258145540050504
810.0,39.0,21.0,-1.5212248595026598
811.0,39.0,23.0,1.3738777288426993
840.0,40.0,0.0,33.01371060301281
841.0,40.0,2.0,-56.01288173872211
842.0,40.0,4.0,-47.38832975125896
843.0,40.0,6.0,-76.18726743551137
844.0,40.0,8.0,-23.212927929611073
845.0,40.0,10.0,41.61143130842883
846.0,40.0,12.0,31.72840954919369
847.0,40.0,14.0,-9.050384007859206
