j,n,m,coef
349.0,25.0,23.0,5.43184467045139e-07
350.0,25.0,25.0,1.096544136427232e-06
364.0,26.0,0.0,9.700080222098455
365.0,26.0,2.0,-5.7364622725986
366.0,26.0,4.0,8.840737902774476
367.0,26.0,6.0,-2.180359383970691
368.0,26.0,8.0,2.313209783073861
369.0,26.0,10.0,-0.8117803112907053
370.0,26.0,12.0,0.14470846684808789
371.0,26.0,14.0,-0.0979079016074618
372.0,26.0,16.0,0.01491284736508212
373.0,26.0,18.0,-0.029978995362182667
374.0,26.0,20.0,-0.010045331683077502
375.0,26.0,22.0,0.0028705289637872937
376.0,26.0,24.0,-0.0013235624415022483
377.0,26.0,26.0,9.042479869626578e-06
392.0,27.0,1.0,0.032118304675095785
393.0,27.0,3.0,-0.016531996157685865
394.0,27.0,5.0,0.042667794233918845
395.0,27.0,7.0,-0.031286468145251
396.0,27.0,9.0,0.022534491766046508
397.0,27.0,11.0,-0.007947614964680157
398.0,27.0,13.0,0.004515766354183688
399.0,27.0,15.0,-0.001048771171969449
400.0,27.0,17.0,-3.744292979938847e-05
401.0,27.0,19.0,0.00021847117003387904
402.0,27.0,21.0,-7.04603713517736e-05
403.0,27.0,23.0,-1.3362119665445574e-05
404.0,27.0,25.0,1.1287831914584111e-05
405.0,27.0,27.0,-1.970248600547276e-07
420.0,28.0,0.0,13.936691183575697
421.0,28.0,2.0,-6.145838804442031
422.0,28.0,4.0,12.249475749727855
423.0,28.0,6.0,-2.904016513659498
424.0,28.0,8.0,3.4663700812681695
425.0,28.0,10.0,-1.3555343584006023
426.0,28.0,12.0,0.09406873581316079
427.0,28.0,14.0,-0.17816993897795305
428.0,28.0,16.0,0.02382247491466443
429.0,28.0,18.0,-0.07165348424260923
430.0,28.0,20.0,-0.041826016994514305
431.0,28.0,22.0,0.014347787993158122
432.0,28.0,24.0,-0.006782097223275083
433.0,28.0,26.0,0.00011078486269172107
434.0,28.0,28.0,3.72618294186243e-05
450.0,29.0,1.0,0.04356932584706165
451.0,29.0,3.0,-0.019442279930954726
452.0,29.0,5.0,0.06661557805547288
453.0,29.0,7.0,-0.050222334971996796
454.0,29.0,9.0,0.03592556855073072
455.0,29.0,11.0,-0.011877575450528269
456.0,29.0,13.0,0.008419831787608474
457.0,29.0,15.0,-0.0022110292051086724
458.0,29.0,17.0,1.3053329411228179e-05
459.0,29.0,19.0,0.0004158358444046066
460.0,29.0,21.0,-8.352538201599272e-05
461.0,29.0,23.0,-0.000115273072114946
462.0,29.0,25.0,6.558823035471457e-05
463.0,29.0,27.0,-2.820995155413753e-06
464.0,29.0,29.0,-2.0378096463047335e-07
480.0,30.0,0.0,16.927080404119717
481.0,30.0,2.0,-2.4639903389377946
482.0,30.0,4.0,13.361757676258142
483.0,30.0,6.0,-2.767139041840984
484.0,30.0,8.0,4.186331909969172
485.0,30.0,10.0,-1.8787717263778951
486.0,30.0,12.0,-0.27421122983417473
487.0,30.0,14.0,-0.27272684146858417
488.0,30.0,16.0,0.030088879954148287
489.0,30.0,18.0,-0.14458906059460375
490.0,30.0,20.0,-0.1438578370953032
491.0,30.0,22.0,0.05483807363123724
492.0,30.0,24.0,-0.02445981226533026
493.0,30.0,26.0,0.00021432166444616818
494.0,30.0,28.0,0.0003596483989587451
495.0,30.0,30.0,8.266009053451914e-05
512.0,31.0,1.0,0.047911960769008194
513.0,31.0,3.0,-0.012330519513494738
514.0,31.0,5.0,0.08902819418467309
515.0,31.0,7.0,-0.06861819399095037
516.0,31.0,9.0,0.046877443310673915
517.0,31.0,11.0,-0.012700047923731715
518.0,31.0,13.0,0.013886617442883897
519.0,31.0,15.0,-0.004374873478509277
520.0,31.0,17.0,0.00029693790663170606
521.0,31.0,19.0,0.000460322075842227
522.0,31.0,21.0,0.0001693903852613655
523.0,31.0,23.0,-0.0005543581357337934
524.0,31.0,25.0,0.0002643246658837568
525.0,31.0,27.0,-9.702885684023839e-06
526.0,31.0,29.0,-5.168497156292102e-06
527.0,31.0,31.0,-8.063181792562768e-07
544.0,32.0,0.0,16.238780793289923
545.0,32.0,2.0,7.836253250214003
546.0,32.0,4.0,9.20855131012711
547.0,32.0,6.0,-1.2299973654673924
548.0,32.0,8.0,3.632113199103565
549.0,32.0,10.0,-2.0360335005565333
550.0,32.0,12.0,-1.2542469702892105
551.0,32.0,14.0,-0.3705596835870767
552.0,32.0,16.0,0.05410833347563407
553.0,32.0,18.0,-0.2473090859970719
554.0,32.0,20.0,-0.4095611319791281
555.0,32.0,22.0,0.16275677215419612
556.0,32.0,24.0,-0.06248614758734818
557.0,32.0,26.0,-0.0027607118335025074
558.0,32.0,28.0,0.002248343887664219
559.0,32.0,30.0,0.001056739275036923
560.0,32.0,32.0,-0.00024344758179533667
578.0,33.0,1.0,0.04028803946818322
579.0,33.0,3.0,0.011086766287815984
580.0,33.0,5.0,0.09729650024349226
581.0,33.0,7.0,-0.07571885987149703
582.0,33.0,9.0,0.04420173418629865
583.0,33.0,11.0,-0.00432475572084394
584.0,33.0,13.0,0.020768992547410756
585.0,33.0,15.0,-0.008431673850985507
586.0,33.0,17.0,0.001056858877396774
587.0,33.0,19.0,-0.0002884788086784777
588.0,33.0,21.0,0.001265189831029872
589.0,33.0,23.0,-0.0018677368778305678
590.0,33.0,25.0,0.0007613444265696201
591.0,33.0,27.0,2.937579845079105e-05
592.0,33.0,29.0,-4.8228757793738336e-05
593.0,33.0,31.0,-5.393598446670712e-06
594.0,33.0,33.0,1.8567611692486743e-06
612.0,34.0,0.0,11.043836543624073
613.0,34.0,2.0,22.745306116097623
614.0,34.0,4.0,-0.6355850991309759
615.0,34.0,6.0,0.5145393781073759
616.0,34.0,8.0,1.6367096306112559
617.0,34.0,10.0,-1.513658248941802
618.0,34.0,12.0,-2.8953969068737346
619.0,34.0,14.0,-0.557147675470955
620.0,34.0,16.0,0.2123232570882691
621.0,34.0,18.0,-0.3661552565118151
622.0,34.0,20.0,-0.9554566119261357
623.0,34.0,22.0,0.3664208364237035
624.0,34.0,24.0,-0.09395414104910452
625.0,34.0,26.0,-0.026162301454100565
626.0,34.0,28.0,0.010113228932669482
627.0,34.0,30.0,0.007166558904714255
628.0,34.0,32.0,-0.002219708740814572
629.0,34.0,34.0,0.00016406641849446568
648.0,35.0,1.0,0.028373347139961834
649.0,35.0,3.0,0.045409279297668484
650.0,35.0,5.0,0.08124951791502545
651.0,35.0,7.0,-0.06196718817985845
652.0,35.0,9.0,0.017062406659512596
653.0,35.0,11.0,0.017822947935700093
654.0,35.0,13.0,0.030123483450213047
655.0,35.0,15.0,-0.015864774810533562
656.0,35.0,17.0,0.0018284118066768914
657.0,35.0,19.0,-0.00262124947238791
658.0,35.0,21.0,0.003830080056344217
659.0,35.0,23.0,-0.004582231017220759
660.0,35.0,25.0,0.0014410736438858276
661.0,35.0,27.0,0.00044549857842233597
662.0,35.0,29.0,-0.00027764628176079643
663.0,35.0,31.0,-2.422970175706366e-05
664.0,35.0,33.0,1.3696403353444936e-05
665.0,35.0,35.0,-1.7180359899041445e-06
684.0,36.0,0.0,5.013515474283904
685.0,36.0,2.0,32.1530241940552
686.0,36.0,4.0,-10.415467763209236
687.0,36.0,6.0,-1.2455341471294505
688.0,36.0,8.0,-0.2457153966968418
689.0,36.0,10.0,-0.25905787196834157
690.0,36.0,12.0,-4.524990494529553
691.0,36.0,14.0,-1.1124990806962978
692.0,36.0,16.0,0.7583248681050583
693.0,36.0,18.0,-0.4851869940600335
694.0,36.0,20.0,-1.7894773341294667
695.0,36.0,22.0,0.5735218991619585
696.0,36.0,24.0,0.03338769335003977
697.0,36.0,26.0,-0.12083682176448278
698.0,36.0,28.0,0.030908272475832877
699.0,36.0,30.0,0.03263148849495574
700.0,36.0,32.0,-0.010097851876442989
701.0,36.0,34.0,0.00023379739872344402
702.0,36.0,36.0,0.0003177882442650347
722.0,37.0,1.0,0.034626782381968195
723.0,37.0,3.0,0.0680935138692851
724.0,37.0,5.0,0.04622408616725613
725.0,37.0,7.0,-0.03239284336932849
726.0,37.0,9.0,-0.030184743901808427
727.0,37.0,11.0,0.048221947914292324
728.0,37.0,13.0,0.045466217865165574
729.0,37.0,15.0,-0.02734391853262755
730.0,37.0,17.0,-0.0008560627165457139
731.0,37.0,19.0,-0.005875538098269517
732.0,37.0,21.0,0.007199533074528295
733.0,37.0,23.0,-0.007880922344735024
734.0,37.0,25.0,0.0010341586567136352
735.0,37.0,27.0,0.0022948968591081135
736.0,37.0,29.0,-0.0010697571799557295
737.0,37.0,31.0,-0.00011449996838952103
738.0,37.0,33.0,5.1006808172152605e-05
739.0,37.0,35.0,-3.944200242699675e-06
740.0,37.0,37.0,-5.873286213599685e-06
760.0,38.0,0.0,4.325888164635057
761.0,38.0,2.0,24.83210366787871
762.0,38.0,4.0,-11.57883504010609
763.0,38.0,6.0,-8.708232942333304
764.0,38.0,8.0,0.11970639227544297
765.0,38.0,10.0,1.910169011257734
766.0,38.0,12.0,-4.861250178102207
767.0,38.0,14.0,-2.2941091539149245
768.0,38.0,16.0,1.7960686518078481
769.0,38.0,18.0,-0.5369776859124824
770.0,38.0,20.0,-2.6164363143926423
771.0,38.0,22.0,0.43923726303697974
772.0,38.0,24.0,0.6547718228259802
773.0,38.0,26.0,-0.345466865847038
774.0,38.0,28.0,0.04824517990803259
775.0,38.0,30.0,0.106546738183425
776.0,38.0,32.0,-0.024338655559487242
777.0,38.0,34.0,-0.008442272077425926
778.0,38.0,36.0,0.004694087043291065
779.0,38.0,38.0,-0.000656568298302157
800.0,39.0,1.0,0.06727334182619919
801.0,39.0,3.0,0.06063861916331948
802.0,39.0,5.0,0.013109394033305842
803.0,39.0,7.0,-0.01062069367438461
804.0,39.0,9.0,-0.0688955682757149
805.0,39.0,11.0,0.0687947136601045
806.0,39.0,13.0,0.06842083230683563
807.0,39.0,15.0,-0.03860891604512382
808.0,39.0,17.0,-0.015292230431194449
809.0,39.0,19.0,-0.00631367706772828
810.0,39.0,21.0,0.008393942963790143
811.0,39.0,23.0,-0.008166256974044576
812.0,39.0,25.0,-0.0032305503042280416
813.0,39.0,27.0,0.007099517174052293
814.0,39.0,29.0,-0.0026856511422273547
815.0,39.0,31.0,-0.000597114445083648
816.0,39.0,33.0,8.851277563540856e-05
817.0,39.0,35.0,6.667591967266309e-05
818.0,39.0,37.0,-7.749159579732983e-05
819.0,39.0,39.0,9.879620280942025e-06
840.0,40.0,0.0,8.401922515560548
841.0,40.0,2.0,7.450397322884795
842.0,40.0,4.0,-5.586038635853772
843.0,40.0,6.0,-15.198052975302408
844.0,40.0,8.0,1.9352924302700927
845.0,40.0,10.0,5.634495379752015
846.0,40.0,12.0,-3.2596679704638465
847.0,40.0,14.0,-3.7322870899607388
848.0,40.0,16.0,2.5321387671082403
849.0,40.0,18.0,-0.22383829350075712
850.0,40.0,20.0,-2.9180466417830426
851.0,40.0,22.0,-0.4229671645261023
852.0,40.0,24.0,1.968917618253586
853.0,40.0,26.0,-0.5669598420005882
854.0,40.0,28.0,-0.06093166962543835
855.0,40.0,30.0,0.24212844087533042
856.0,40.0,32.0,-0.004593363623860973
857.0,40.0,34.0,-0.07259189408989888
858.0,40.0,36.0,0.03013096069893926
859.0,40.0,38.0,-0.005732458779707433
860.0,40.0,40.0,0.00012654023412126542
882.0,41.0,1.0,0.08518755604380292
883.0,41.0,3.0,0.043770386420175986
884.0,41.0,5.0,-0.004098586683713849
885.0,41.0,7.0,-0.014915706895414906
886.0,41.0,9.0,-0.06839758979965539
887.0,41.0,11.0,0.0671629089988664
888.0,41.0,13.0,0.08732203797663772
889.0,41.0,15.0,-0.03925681712805567
890.0,41.0,17.0,-0.04718759574968208
891.0,41.0,19.0,-0.001689842230343367
892.0,41.0,21.0,0.006580635358139591
893.0,41.0,23.0,-0.002006591657216767
894.0,41.0,25.0,-0.011945806966482269
895.0,41.0,27.0,0.013531220062657683
896.0,41.0,29.0,-0.003554612675554682
897.0,41.0,31.0,-0.0025912617828372196
898.0,41.0,33.0,-0.00018173308570687725
899.0,41.0,35.0,0.0006235469432200411
900.0,41.0,37.0,-0.0004996723759009558
901.0,41.0,39.0,9.775221183173921e-05
902.0,41.0,41.0,-6.160445908745538e-06
924.0,42.0,0.0,7.512099241977257
925.0,42.0,2.0,4.291462833721223
926.0,42.0,4.0,-5.19699781484463
927.0,42.0,6.0,-10.70625701565689
928.0,42.0,8.0,2.7671952540881053
929.0,42.0,10.0,9.173988671969456
930.0,42.0,12.0,-0.5207342824616206
931.0,42.0,14.0,-4.606342192167006
932.0,42.0,16.0,1.2811115940237028
933.0,42.0,18.0,0.8497822825435766
934.0,42.0,20.0,-2.529743985869118
935.0,42.0,22.0,-1.6128358366368738
936.0,42.0,24.0,3.1756073953967756
937.0,42.0,26.0,-0.19238162896576064
938.0,42.0,28.0,-0.5553563263037303
939.0,42.0,30.0,0.29878469427276405
940.0,42.0,32.0,0.19234615586677176
941.0,42.0,34.0,-0.30357339553609874
942.0,42.0,36.0,0.10086446969962998
943.0,42.0,38.0,-0.016349449753006937
944.0,42.0,40.0,-0.002707085862066909
945.0,42.0,42.0,0.0006439211649622648
968.0,43.0,1.0,0.047933479337478505
969.0,43.0,3.0,0.05087779227565742
970.0,43.0,5.0,-0.007962497252950146
971.0,43.0,7.0,-0.030249865384581208
972.0,43.0,9.0,-0.038093758542401594
973.0,43.0,11.0,0.05854037609565785
974.0,43.0,13.0,0.07947674224352931
975.0,43.0,15.0,-0.02702692704929624
976.0,43.0,17.0,-0.07914651317957598
977.0,43.0,19.0,-0.001832679982911655
978.0,43.0,21.0,0.011152738874889571
979.0,43.0,23.0,0.006329571281762788
980.0,43.0,25.0,-0.01713126312500683
981.0,43.0,27.0,0.012648149048576134
982.0,43.0,29.0,0.0009793930321377719
983.0,43.0,31.0,-0.007815772565245667
984.0,43.0,33.0,-0.001961956254098526
985.0,43.0,35.0,0.0027104756738022505
986.0,43.0,37.0,-0.0018828039982804966
987.0,43.0,39.0,0.00038982559084712286
988.0,43.0,41.0,-1.4258857825969612e-05
989.0,43.0,43.0,-4.5330012159016525e-06
1012.0,44.0,0.0,1.2018965953520087
1013.0,44.0,2.0,14.646299141623357
1014.0,44.0,4.0,-8.589448050099563
1015.0,44.0,6.0,-3.3398675139022456
1016.0,44.0,8.0,5.276371017678356
1017.0,44.0,10.0,6.327244234939389
1018.0,44.0,12.0,1.8030902212360576
1019.0,44.0,14.0,-5.07830242537188
1020.0,44.0,16.0,-1.9859385539182328
1021.0,44.0,18.0,2.001766358702577
1022.0,44.0,20.0,-1.7945536517436593
1023.0,44.0,22.0,-1.703845458022354
1024.0,44.0,24.0,2.4758951102043105
1025.0,44.0,26.0,1.2081273302257514
1026.0,44.0,28.0,-1.3661117625601238
1027.0,44.0,30.0,-0.22206256163529436
1028.0,44.0,32.0,0.7257629241086528
1029.0,44.0,34.0,-0.7316394236550212
1030.0,44.0,36.0,0.13301125775625924
1031.0,44.0,38.0,0.02340463280076388
1032.0,44.0,40.0,-0.03575696903205286
1033.0,44.0,42.0,0.008382995593947423
1034.0,44.0,44.0,-0.0007261383886254871
1058.0,45.0,1.0,0.01352483468365457
1059.0,45.0,3.0,0.052000561415110495
1060.0,45.0,5.0,0.004948348776358347
1061.0,45.0,7.0,-0.029698647955143157
1062.0,45.0,9.0,-0.01849303709554713
1063.0,45.0,11.0,0.0591419249302446
1064.0,45.0,13.0,0.048705818498580265
1065.0,45.0,15.0,-0.02429718275593233
1066.0,45.0,17.0,-0.07252502270652159
1067.0,45.0,19.0,-0.016014506273271095
1068.0,45.0,21.0,0.02705302342944421
1069.0,45.0,23.0,0.011859261537829083
1070.0,45.0,25.0,-0.011625425561917029
1071.0,45.0,27.0,-0.003568622392868599
1072.0,45.0,29.0,0.010946101380081123
1073.0,45.0,31.0,-0.01475333221671232
1074.0,45.0,33.0,-0.00741358694837024
1075.0,45.0,35.0,0.006556302354201009
1076.0,45.0,37.0,-0.0038006642765008123
1077.0,45.0,39.0,0.0003319424117022929
1078.0,45.0,41.0,0.0002844592553120813
1079.0,45.0,43.0,-0.00010072741980067827
1080.0,45.0,45.0,1.2097048014965243e-05
1104.0,46.0,0.0,1.5665331132166926
1105.0,46.0,2.0,8.717709645494532
1106.0,46.0,4.0,-2.22659626839831
1107.0,46.0,6.0,-6.71772351940325
1108.0,46.0,8.0,7.30391334261978
1109.0,46.0,10.0,-0.726590455583704
1110.0,46.0,12.0,0.331978060327683
1111.0,46.0,14.0,-5.129601630030983
1112.0,46.0,16.0,-3.7069656056278144
1113.0,46.0,18.0,1.2963324851593636
1114.0,46.0,20.0,-0.6342025180602961
1115.0,46.0,22.0,-0.3647354121868435
1116.0,46.0,24.0,-0.10708949159985401
1117.0,46.0,26.0,1.9981397577287408
1118.0,46.0,28.0,-1.3306285519214238
1119.0,46.0,30.0,-1.8554370576318835
1120.0,46.0,32.0,1.2953027310003236
1121.0,46.0,34.0,-0.9293389273639683
1122.0,46.0,36.0,-0.20859246403009193
1123.0,46.0,38.0,0.2600590950114161
1124.0,46.0,40.0,-0.1503559501919607
